Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~100|Field=Category~String~Category~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal per Board 1~Float~Supplier Subtotal per Board 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~USD|ReportField=ProductionQuantity~1000|ReportField=ProjectFileName~LED Project.PrjPcb|ReportField=ProjectFullPath~D:\FEDEVEL Academy\LED Youtube Project\LED Project.PrjPcb|ReportField=Title~Bill of Materials For Variant [LED2 Not Fitted] of Project [LED Project.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~16:06:36|ReportField=ReportDate~15/09/2018|ReportField=ReportDateTime~15/09/2018 16:06:36|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~LED2 Not Fitted|ReportField=TotalQuantity~3|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~15/09/2018|ReportField=CurrentTime~15:13:52|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\FEDEVEL Academy\LED Youtube Project\LED.SchDoc|ReportField=DocumentName~LED.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~14/09/2018|ReportField=Organization~|ReportField=ProjectName~LED Project.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LED Project.PrjPcb|ReportField=DataSourceFullPath~D:\FEDEVEL Academy\LED Youtube Project\LED Project.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||Connectors|Headers & Wire Housings 2 PIN F/LK HEADER|HDR1X2|22-29-2021|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DDigi-Key%26sku%3DWM2744-ND%26country%3DGB%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DDigi-Key%26sku%3DWM2744-ND%26country%3DGB%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}22-29-2021{URL.TIP}Manufacturer|1|Digi-Key|USD|1000|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D22-29-2021%26seller%3DDigi-Key%26sku%3DWM2744-ND%26country%3DGB%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}WM2744-ND{URL.TIP}Supplier|17377|215.25|0.22|0.22
2|0603|Optoelectronics|Standard LEDs - SMD LED GR HI-BRT USS|LED0603G|LNJ337W83RA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ337W83RA%26seller%3DDigi-Key%26sku%3DLNJ337W83RADKR-ND%26country%3DGB%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic%20SSG{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ337W83RA%26seller%3DDigi-Key%26sku%3DLNJ337W83RADKR-ND%26country%3DGB%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LNJ337W83RA{URL.TIP}Manufacturer|1|Digi-Key|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ337W83RA%26seller%3DDigi-Key%26sku%3DLNJ337W83RADKR-ND%26country%3DGB%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}LNJ337W83RADKR-ND{URL.TIP}Supplier|0|||
3|0805|Resistors|RES SMD 360 OHM 1% 1/8W 0805|R0805|CRCW0805360RFKEA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0805360RFKEA%26seller%3DDigi-Key%26sku%3D541-360CDKR-ND%26country%3DGB%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0805360RFKEA%26seller%3DDigi-Key%26sku%3D541-360CDKR-ND%26country%3DGB%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW0805360RFKEA{URL.TIP}Manufacturer|1|Digi-Key|USD|1000|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW0805360RFKEA%26seller%3DDigi-Key%26sku%3D541-360CDKR-ND%26country%3DGB%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-360CDKR-ND{URL.TIP}Supplier|29870|10.03|0.01|0.01
